Cluster ID,confidence_score,Id,duns,bp name,addr,postl

0,0.953481257870378,0,050871698,"Mitsubishi Chemical America, Inc.-Polyester Film Division","2001 Hood Road, Greer,South Carolina, 29652",NULL

0,0.953481257870378,1,050871698,"Mitsubishi Chemical America, Inc.-Polyester Film Division","2001 Hood Road, Greer,South Carolina, 29652, USA.",NULL

1,0.9534813373263017,2,238384528,Mitsubishi Chemical UK Ltd.SoarnoL Division,"Soarnol House, Saltend,Hull",HU128DS

1,0.9534813373263017,3,238384528,Mitsubishi Chemical UK Ltd.Soarnol Division,"Soarnol House, Saltend,Hull, East Yorkshire",HU12 8DS

2,0.9534808650615906,4,312951658,Mitsubishi Chemical Europe GmbHPolymers,"Schiessstr. 47,Düsseldorf",40549

2,0.9534808650615906,5,312951658,Mitsubishi Chemical Europe GmbHPolymers,"Schiessstraße 47,Düsseldorf",40549

2,0.9534808650615906,6,312951658,Mitsubishi Chemical Europe GmbHSemiconductor,"Schiessstrasse 47,Düsseldorf",40549

2,0.9534808307412534,7,312951658,Mitsubishi Chemical GmbHSemiconductor,"Schiessstr. 47,Düsseldord",40549

25,1.0,8,315532416,Mitsubishi International GmbH,"Kennedydamm 19,D-40476 Düsseldorf",NULL

2,0.9534805161393425,9,315532416,Mitsubishi International GmbH,"Kennedydamm 19,Düsseldorf",40476

3,0.9534806816625827,10,328425681,Mitsubishi Polyester Film GmbH,"Kasteler Str. 45,D-65203 Wiesbaden",NULL

3,0.953480740054651,11,328425681,Mitsubishi Polyester Film GmbH,"Kasteler Str. 45,Wiesbaden",65203

3,0.9534806407881785,12,328425681,Mitsubishi Polyester Film GmbH,"Kasteler Strasse 45,Wiesbaden",65203

3,0.9534802237044743,13,328425681,Mitsubishi Polyester Film GmbH.,"Rheingaustrabe 190-196,D-65203, Wiesbaden,Germany",NULL

4,0.9534811387910195,14,480003888,Mitsubishi Chemical AdvancedMaterials AG,"Talstrasse 70,Zurich",8001

4,0.9534811387910195,15,480003888,Mitsubishi Chemical AdvancedMaterials AG,"Talstrasse 70,Zürich",8001

5,0.9534809606203098,16,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyodaku, Tokyo 100-8251, Japan",100-8251

5,0.9534808605927952,17,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,1008251 Tokyo",1008251

5,0.953480979058076,18,690553821,Mitsubishi Chemical Corporation,"1-1 Marunouchi 1-chome, Chiyoda-ku,JP-Tokyo 100-8251",NULL

